               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  74,            0.028471,            0.023892,           0.0089506,             0.61659,             0.57347,             0.56847,             0.38248,            0.032719,            0.014381,             0.01372,            0.007591,            0.007591,            0.007591
                  75,            0.028242,            0.023211,           0.0088619,             0.62937,             0.57259,             0.57319,             0.38988,            0.032747,            0.014449,            0.013185,            0.007558,            0.007558,            0.007558
                  76,            0.028062,            0.023193,           0.0087079,             0.59662,              0.5877,             0.57442,              0.3887,            0.032703,            0.014459,            0.013477,            0.007525,            0.007525,            0.007525
                  77,            0.027476,            0.023355,           0.0086211,             0.60678,             0.60642,             0.57888,              0.3901,            0.032431,            0.014582,            0.013391,            0.007492,            0.007492,            0.007492
                  78,            0.028029,            0.023132,           0.0091239,             0.61785,             0.59311,             0.58305,             0.39359,             0.03267,            0.014518,            0.013205,            0.007459,            0.007459,            0.007459
                  79,            0.027428,            0.023254,            0.009056,             0.58954,             0.60406,             0.57045,             0.38523,            0.032839,            0.014569,            0.014217,            0.007426,            0.007426,            0.007426
                  80,            0.028072,            0.023665,           0.0090642,             0.61157,             0.59473,             0.57753,              0.3897,            0.032915,            0.014534,            0.014381,            0.007393,            0.007393,            0.007393
                  81,            0.027437,            0.023121,           0.0080496,             0.61398,             0.59946,               0.579,             0.39057,            0.032717,            0.014561,            0.014422,             0.00736,             0.00736,             0.00736
                  82,            0.027662,            0.023316,           0.0086519,               0.631,             0.58909,             0.58573,             0.39426,            0.032454,            0.014551,            0.013779,            0.007327,            0.007327,            0.007327
                  83,            0.027527,            0.023117,           0.0085235,             0.63123,             0.60056,             0.59056,             0.39641,            0.032475,            0.014521,            0.013788,            0.007294,            0.007294,            0.007294
                  84,             0.02692,            0.022693,           0.0082143,             0.61729,              0.6057,             0.58413,             0.39365,            0.032769,            0.014623,            0.013712,            0.007261,            0.007261,            0.007261
